tipo;dn;dn2;dn3;nps;od_mm;A;B;C;M;O;K_dim;E;E1;H;theta_deg;fT;K_fT;K;K_contraccion;K_expansion;referencia_K;nota
Te recta – derivación;1100;;;44;1118;;;813.0;762.0;;;;;;;0.0102;60;0.612;;;Crane A-24: 60 fT;
Te recta – paso directo;1150;;;46;1168;;;851.0;800.0;;;;;;;0.0101;20;0.202;;;Crane A-24: 20 fT;
Te recta – derivación;1150;;;46;1168;;;851.0;800.0;;;;;;;0.0101;60;0.606;;;Crane A-24: 60 fT;
Te recta – paso directo;1200;;;48;1219;;;889.0;838.0;;;;;;;0.01;20;0.2;;;Crane A-24: 20 fT;
Te recta – derivación;1200;;;48;1219;;;889.0;838.0;;;;;;;0.01;60;0.6;;;Crane A-24: 60 fT;
Casquete (cap);15;;;1/2;21.3;;;;;;;25.0;25.0;;;0.027;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);20;;;3/4;26.7;;;;;;;25.0;25.0;;;0.025;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);25;;;1;33.4;;;;;;;38.0;38.0;;;0.023;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);32;;;1-1/4;42.2;;;;;;;38.0;38.0;;;0.022;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);40;;;1-1/2;48.3;;;;;;;38.0;38.0;;;0.021;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);50;;;2;60.3;;;;;;;38.0;44.0;;;0.019;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);65;;;2-1/2;73.0;;;;;;;38.0;51.0;;;0.018;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);80;;;3;88.9;;;;;;;51.0;64.0;;;0.018;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);90;;;3-1/2;101.6;;;;;;;64.0;76.0;;;0.018;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);100;;;4;114.3;;;;;;;64.0;76.0;;;0.017;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);125;;;5;141.3;;;;;;;76.0;89.0;;;0.016;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);150;;;6;168.3;;;;;;;89.0;102.0;;;0.015;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);200;;;8;219.1;;;;;;;102.0;127.0;;;0.014;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);250;;;10;273.0;;;;;;;127.0;152.0;;;0.014;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);300;;;12;323.8;;;;;;;152.0;178.0;;;0.013;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);350;;;14;355.6;;;;;;;165.0;191.0;;;0.013;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);400;;;16;406.4;;;;;;;178.0;203.0;;;0.013;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);450;;;18;457;;;;;;;203.0;229.0;;;0.012;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);500;;;20;508;;;;;;;229.0;254.0;;;0.012;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);550;;;22;559;;;;;;;254.0;254.0;;;0.012;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);600;;;24;610;;;;;;;267.0;305.0;;;0.012;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);650;;;26;660;;;;;;;267.0;;;;0.0112;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);700;;;28;711;;;;;;;267.0;;;;0.0111;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);750;;;30;762;;;;;;;267.0;;;;0.011;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);800;;;32;813;;;;;;;267.0;;;;0.0108;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);850;;;34;864;;;;;;;267.0;;;;0.0107;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);900;;;36;914;;;;;;;267.0;;;;0.0106;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);950;;;38;965;;;;;;;305.0;;;;0.0105;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);1000;;;40;1016;;;;;;;305.0;;;;0.0104;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);1050;;;42;1067;;;;;;;305.0;;;;0.0103;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);1100;;;44;1118;;;;;;;343.0;;;;0.0102;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);1150;;;46;1168;;;;;;;343.0;;;;0.0101;;;;;—;Extremo cerrado: sin flujo
Casquete (cap);1200;;;48;1219;;;;;;;343.0;;;;0.01;;;;;—;Extremo cerrado: sin flujo
Codo 90° LR reductor;50;40;;2;60.3;76.0;;;;;;;;;;0.019;14;0.266;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;250;200;;10;273.0;381.0;;;;;;;;;;0.014;14;0.196;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;50;32;;2;60.3;76.0;;;;;;;;;;0.019;14;0.266;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;250;150;;10;273.0;381.0;;;;;;;;;;0.014;14;0.196;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;50;25;;2;60.3;76.0;;;;;;;;;;0.019;14;0.266;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;250;125;;10;273.0;381.0;;;;;;;;;;0.014;14;0.196;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;65;50;;2-1/2;73.0;95.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;300;250;;12;323.8;457.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;65;40;;2-1/2;73.0;95.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;300;200;;12;323.8;457.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;65;32;;2-1/2;73.0;95.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;300;150;;12;323.8;457.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;80;65;;3;88.9;114.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;350;300;;14;355.6;533.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;80;50;;3;88.9;114.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;350;250;;14;355.6;533.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;80;40;;3;88.9;114.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;350;200;;14;355.6;533.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;90;80;;3-1/2;101.6;133.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;400;350;;16;406.4;610.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;90;65;;3-1/2;101.6;133.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;400;300;;16;406.4;610.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;90;50;;3-1/2;101.6;133.0;;;;;;;;;;0.018;14;0.252;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;400;250;;16;406.4;610.0;;;;;;;;;;0.013;14;0.182;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;100;90;;4;114.3;152.0;;;;;;;;;;0.017;14;0.238;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;450;400;;18;457;686.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;100;80;;4;114.3;152.0;;;;;;;;;;0.017;14;0.238;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;450;350;;18;457;686.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;100;65;;4;114.3;152.0;;;;;;;;;;0.017;14;0.238;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;450;300;;18;457;686.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;100;50;;4;114.3;152.0;;;;;;;;;;0.017;14;0.238;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;450;250;;18;457;686.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;125;100;;5;141.3;190.0;;;;;;;;;;0.016;14;0.224;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;500;450;;20;508;762.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;125;90;;5;141.3;190.0;;;;;;;;;;0.016;14;0.224;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;500;400;;20;508;762.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;125;80;;5;141.3;190.0;;;;;;;;;;0.016;14;0.224;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;500;350;;20;508;762.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;125;65;;5;141.3;190.0;;;;;;;;;;0.016;14;0.224;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;500;300;;20;508;762.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;150;125;;6;168.3;229.0;;;;;;;;;;0.015;14;0.21;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;500;250;;20;508;762.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;150;100;;6;168.3;229.0;;;;;;;;;;0.015;14;0.21;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;600;550;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;150;90;;6;168.3;229.0;;;;;;;;;;0.015;14;0.21;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;600;500;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;150;80;;6;168.3;229.0;;;;;;;;;;0.015;14;0.21;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;600;450;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;200;150;;8;219.1;305.0;;;;;;;;;;0.014;14;0.196;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;600;400;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;200;125;;8;219.1;305.0;;;;;;;;;;0.014;14;0.196;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;600;350;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;200;100;;8;219.1;305.0;;;;;;;;;;0.014;14;0.196;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Codo 90° LR reductor;600;300;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane: 14 fT + reducción (aprox.);Sumar K de la reducción referida al diámetro menor
Te reductora – paso directo;15;15;10;1/2;21.3;;;25.0;25.0;;;;;;;0.027;20;0.54;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;15;15;10;1/2;21.3;;;25.0;25.0;;;;;;;0.027;60;1.62;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;20;20;15;3/4;26.7;;;29.0;29.0;;;;;;;0.025;20;0.5;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;20;20;15;3/4;26.7;;;29.0;29.0;;;;;;;0.027;60;1.62;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;20;20;10;3/4;26.7;;;29.0;29.0;;;;;;;0.025;20;0.5;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;20;20;10;3/4;26.7;;;29.0;29.0;;;;;;;0.027;60;1.62;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;25;25;20;1;33.4;;;38.0;38.0;;;;;;;0.023;20;0.46;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;25;25;20;1;33.4;;;38.0;38.0;;;;;;;0.025;60;1.5;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;25;25;15;1;33.4;;;38.0;38.0;;;;;;;0.023;20;0.46;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;25;25;15;1;33.4;;;38.0;38.0;;;;;;;0.027;60;1.62;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;32;32;25;1-1/4;42.2;;;48.0;48.0;;;;;;;0.022;20;0.44;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;32;32;25;1-1/4;42.2;;;48.0;48.0;;;;;;;0.023;60;1.38;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;32;32;20;1-1/4;42.2;;;48.0;48.0;;;;;;;0.022;20;0.44;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;32;32;20;1-1/4;42.2;;;48.0;48.0;;;;;;;0.025;60;1.5;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;32;32;15;1-1/4;42.2;;;48.0;48.0;;;;;;;0.022;20;0.44;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;32;32;15;1-1/4;42.2;;;48.0;48.0;;;;;;;0.027;60;1.62;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;40;40;32;1-1/2;48.3;;;57.0;57.0;;;;;;;0.021;20;0.42;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;40;40;32;1-1/2;48.3;;;57.0;57.0;;;;;;;0.022;60;1.32;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;40;40;25;1-1/2;48.3;;;57.0;57.0;;;;;;;0.021;20;0.42;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;40;40;25;1-1/2;48.3;;;57.0;57.0;;;;;;;0.023;60;1.38;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;40;40;20;1-1/2;48.3;;;57.0;57.0;;;;;;;0.021;20;0.42;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;40;40;20;1-1/2;48.3;;;57.0;57.0;;;;;;;0.025;60;1.5;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;40;40;15;1-1/2;48.3;;;57.0;57.0;;;;;;;0.021;20;0.42;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;40;40;15;1-1/2;48.3;;;57.0;57.0;;;;;;;0.027;60;1.62;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;50;50;40;2;60.3;;;64.0;60.0;;;;;;;0.019;20;0.38;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;50;50;40;2;60.3;;;64.0;60.0;;;;;;;0.021;60;1.26;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;50;50;32;2;60.3;;;64.0;57.0;;;;;;;0.019;20;0.38;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;50;50;32;2;60.3;;;64.0;57.0;;;;;;;0.022;60;1.32;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;50;50;25;2;60.3;;;64.0;51.0;;;;;;;0.019;20;0.38;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;50;50;25;2;60.3;;;64.0;51.0;;;;;;;0.023;60;1.38;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;50;50;20;2;60.3;;;64.0;44.0;;;;;;;0.019;20;0.38;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;50;50;20;2;60.3;;;64.0;44.0;;;;;;;0.025;60;1.5;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;65;65;50;2-1/2;73.0;;;76.0;70.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;65;65;50;2-1/2;73.0;;;76.0;70.0;;;;;;;0.019;60;1.14;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;65;65;40;2-1/2;73.0;;;76.0;67.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;65;65;40;2-1/2;73.0;;;76.0;67.0;;;;;;;0.021;60;1.26;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;65;65;32;2-1/2;73.0;;;76.0;64.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;65;65;32;2-1/2;73.0;;;76.0;64.0;;;;;;;0.022;60;1.32;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;65;65;25;2-1/2;73.0;;;76.0;57.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;65;65;25;2-1/2;73.0;;;76.0;57.0;;;;;;;0.023;60;1.38;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;80;80;65;3;88.9;;;86.0;83.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;80;80;65;3;88.9;;;86.0;83.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;80;80;50;3;88.9;;;86.0;76.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;80;80;50;3;88.9;;;86.0;76.0;;;;;;;0.019;60;1.14;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;80;80;40;3;88.9;;;86.0;73.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;80;80;40;3;88.9;;;86.0;73.0;;;;;;;0.021;60;1.26;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;80;80;32;3;88.9;;;86.0;70.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;80;80;32;3;88.9;;;86.0;70.0;;;;;;;0.022;60;1.32;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;90;90;80;3-1/2;101.6;;;95.0;92.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;90;90;80;3-1/2;101.6;;;95.0;92.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;90;90;65;3-1/2;101.6;;;95.0;89.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;90;90;65;3-1/2;101.6;;;95.0;89.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;90;90;50;3-1/2;101.6;;;95.0;83.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;90;90;50;3-1/2;101.6;;;95.0;83.0;;;;;;;0.019;60;1.14;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;90;90;40;3-1/2;101.6;;;95.0;79.0;;;;;;;0.018;20;0.36;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;90;90;40;3-1/2;101.6;;;95.0;79.0;;;;;;;0.021;60;1.26;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;100;100;90;4;114.3;;;105.0;102.0;;;;;;;0.017;20;0.34;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;100;100;90;4;114.3;;;105.0;102.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;100;100;80;4;114.3;;;105.0;98.0;;;;;;;0.017;20;0.34;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;100;100;80;4;114.3;;;105.0;98.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;100;100;65;4;114.3;;;105.0;95.0;;;;;;;0.017;20;0.34;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;100;100;65;4;114.3;;;105.0;95.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;100;100;50;4;114.3;;;105.0;89.0;;;;;;;0.017;20;0.34;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;100;100;50;4;114.3;;;105.0;89.0;;;;;;;0.019;60;1.14;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;100;100;40;4;114.3;;;105.0;86.0;;;;;;;0.017;20;0.34;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;100;100;40;4;114.3;;;105.0;86.0;;;;;;;0.021;60;1.26;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;125;125;100;5;141.3;;;125.0;117.0;;;;;;;0.016;20;0.32;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;125;125;100;5;141.3;;;125.0;117.0;;;;;;;0.017;60;1.02;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;125;125;90;5;141.3;;;124.0;114.0;;;;;;;0.016;20;0.32;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;125;125;90;5;141.3;;;124.0;114.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;125;125;80;5;141.3;;;124.0;111.0;;;;;;;0.016;20;0.32;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;125;125;80;5;141.3;;;124.0;111.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;125;125;65;5;141.3;;;124.0;108.0;;;;;;;0.016;20;0.32;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;125;125;65;5;141.3;;;124.0;108.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;125;125;50;5;141.3;;;124.0;105.0;;;;;;;0.016;20;0.32;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;125;125;50;5;141.3;;;124.0;105.0;;;;;;;0.019;60;1.14;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;150;150;125;6;168.3;;;143.0;137.0;;;;;;;0.015;20;0.3;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;150;150;125;6;168.3;;;143.0;137.0;;;;;;;0.016;60;0.96;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;150;150;100;6;168.3;;;143.0;130.0;;;;;;;0.015;20;0.3;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;150;150;100;6;168.3;;;143.0;130.0;;;;;;;0.017;60;1.02;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
